Facility/Project Name,CWNS Number,Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
Lodi WPCF,06005062001,"57,000",,518,,"57,000",0,57000,"73,000",,518,,"73,000",0,73000,CA0079243,Individual Permit,"LODI, CITY OF",San Joaquin,Upper Mokelumne,18040012,9th Congressional District,CA,9,MAP
Maxwell WWTP,06005063001,"1,150",,,,"1,150",0,1150,"1,400",,,,"1,400",0,1400,,,MAXWELL PUD,Colusa,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
Merced WWTP,06005064001,"69,805",691,,,"70,496",0,70496,"83,000",795,,,"83,795",0,83795,CA0079219,Individual Permit,"MERCED, CITY OF",Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
Modesto WWTF,06005065001,"219,900","4,150",,,"224,050",0,224050,"355,000","6,235",,,"361,235",0,361235,CA0079103,Individual Permit,MODESTO CITY,Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Planada WWTF,06005066001,"4,553",,33,,"4,553",0,4553,"9,391",,65,,"9,391",0,9391,CA0078950,Individual Permit,Planada Community Services District,Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
RIVERBANK WWTF,06005068001,"22,924",,,,"22,924",0,22924,"25,200",,,,"25,200",0,25200,,,"RIVERBANK, CITY OF",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Selma-Kingsburg-Fowler CSD WWTF,06005071001,"32,622",,,,"32,622",0,32622,"41,000",,,,"41,000",0,41000,,,Selma-Kingsburg-Fowler County SD,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Snelling WWTF,06005074001,380,,,,380,0,380,380,,,,380,0,380,,,Snelling Community Services District,Merced,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,16th Congressional District,CA,9,MAP
TURLOCK WWTF,06005077001,"69,370","6,968","6,866",,"76,338",0,76338,"74,521","8,715","6,866",,"83,236",0,83236,CA0078948,Individual Permit,"TURLOCK, CITY OF",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Visalia WWTP,06005078001,"102,684",,,,"102,684",0,102684,"115,000",,,,"115,000",0,115000,CA0079189,Individual Permit,"VISALIA, CITY OF",Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
WASCO WWTF,06005079001,"19,500",,,,"19,500",0,19500,"28,838",,,,"28,838",0,28838,,,WASCO PUD,Kern,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
WATERFORD WWTP,06005080001,"6,700",,76,,"6,700",0,6700,"7,000",,76,,"7,000",0,7000,,,Waterford Community Services District,Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Yuba City WRP,06005081001,"42,706",,,,"42,706",0,42706,"70,873",,,,"70,873",0,70873,CA0079260,Individual Permit,"YUBA CITY, CITY OF",Sutter,Upper Yuba,18020125,3rd Congressional District,CA,9,MAP
West Point STP,06005082001,"3,000",,,,"3,000",0,3000,"3,900",,,,"3,900",0,3900,,,Calaveras County Water District,Calaveras,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
Vallecito/Douglas Flat WWTF,06005082002,400,,,,400,0,400,500,,,,500,0,500,,,Calaveras County Water District,Calaveras,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
Arnold STP,06005082003,900,,,,900,0,900,"1,200",,,,"1,200",0,1200,,,Calaveras County Water District,Calaveras,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
MOTHER LODE WWTF,06005082004,133,,108,,133,0,133,274,,221,,274,0,274,,,CALAVERAS CWD,Calaveras,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
Copper Cove STP,06005082007,"2,783",,100,,"2,783",0,2783,"3,000",,100,,"3,000",0,3000,,,Calaveras County Water District,Calaveras,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
Wilseyville STP,06005082016,90,,,,90,0,90,100,,,,100,0,100,,,CALAVERAS CWD,Calaveras,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
Six Mile Village WWTF,06005082020,133,,100,,133,0,133,284,,100,,284,0,284,,,CALAVERAS CWD,Calaveras,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
Forest Meadows STP,06005082021,"3,000",,,,"3,000",0,3000,"3,000",,,,"3,000",0,3000,,,Calaveras County Water District,Calaveras,Upper Stanislaus,18040010,4th Congressional District,CA,9,MAP
Parlier WWTF,06005086001,"14,826",,,,"14,826",0,14826,"18,175",,,,"18,175",0,18175,,,City of Parlier,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Sewerage Commis.-Oroville Reg. WWTP,06005088002,"30,000","9,101","15,000",,"39,101",0,39101,"33,839","11,094","15,000",,"44,933",0,44933,CA0079235,Individual Permit,Sewerage Commission-Oroville Region,Butte,Butte,18010205,1st Congressional District,CA,9,MAP
PLYMOUTH WWTF,06005094001,"1,044",,5,,"1,044",0,1044,"1,300",,5,,"1,300",0,1300,,,"PLYMOUTH      ,CITYOF",Amador,Upper Cosumnes,18040013,4th Congressional District,CA,9,MAP
WEST PARLIER WWTF,06005095001,"2,474",,216,,"2,474",0,2474,"4,873",,216,,"4,873",0,4873,,,WEST PARLIER CSD,Fresno,Upper Cosumnes,18040013,4th Congressional District,CA,9,MAP
OAKHURST WWTF,06005097001,"1,226",,"5,680",,"1,226",0,1226,"1,906",,"9,123",,"1,906",0,1906,,,MADERA CO MAINT-DIST 22A,Madera,Upper Chowchilla-Upper Fresno,18040007,4th Congressional District,CA,9,MAP
Clear Creek WWTF,06005098001,"66,612","92,191","2,001",,"158,803",0,158803,"78,500","100,000","2,001",,"178,500",0,178500,CA0079731,Individual Permit,"REDDING, CITY OF",Shasta,Shasta,18010207,1st Congressional District,CA,9,MAP
Stillwater WWTF,06005098002,"26,900",,,,"26,900",0,26900,"35,000",,,,"35,000",0,35000,CA0079731,Individual Permit,"REDDING, CITY OF",Shasta,Shasta,18010207,1st Congressional District,CA,9,MAP
JACKSON WWTF,06005099001,,906,"2,225",,"4,796",0,4796,,"14,281","2,225",,"14,281",0,14281,CA0079391,Individual Permit,"Jackson, City of",Amador,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
Armona WWTF,06005104001,"3,239",,,,"3,239",0,3239,"3,239",,,,"3,239",0,3239,,,Armona Community Services District,Kings,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Tracy WWTP,06005105001,"83,900",,,,"83,900",0,83900,"109,893",,,,"109,893",0,109893,CA0079154,Individual Permit,"TRACY, CITY OF",San Joaquin,San Joaquin Delta,18040003,10th Congressional District,CA,9,MAP
ATWATER WWTF,06005106001,"20,371","6,834",319,,"27,205",0,27205,"24,898","8,358",319,,"33,256",0,33256,,,"ATWATER      ,CITYOF",Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
CERES WWTP,06005107001,"37,338",,,,"37,338",0,37338,"41,000",,,,"41,000",0,41000,,,"Ceres, City of",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Hughson WWTF,06005108001,"12,000",,,,"12,000",0,12000,"15,074",,,,"15,074",0,15074,,,"HUGHSON, CITY OF",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
SONORA WWTP,06005109001,"4,825","7,034",481,,"11,859",0,11859,"8,086","16,495",481,,"24,581",0,24581,,,Tuolumne Utilities District,Tuolumne,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Mule Creek State Prison WWTF,06005111001,"6,500",,,,"6,500",0,6500,"7,000",,,,"7,000",0,7000,,,"CA Dept. of Corrections, Mule Creek State Prison",Amador,Sacramento Headwaters,18020005,4th Congressional District,CA,9,MAP
IONE WWTF,06005112001,"7,466",,,,"7,466",0,7466,"10,959",,,,"10,959",0,10959,,,"IONE, CITY OF",Amador,Sacramento Headwaters,18020005,4th Congressional District,CA,9,MAP
DEL REY WWTF,06005113001,"1,600",,,,"1,600",0,1600,"2,100",,,,"2,100",0,2100,,,Del Rey Community Services District,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
BEAR VALLEY WWTF,06005114001,"1,000",,"1,026",,"1,000",0,1000,"1,500",,"1,026",,"1,500",0,1500,,,BEAR VALLEY CSD,Kern,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
TWAIN HARTE WWTF,06005115001,,"8,325",,,"8,325",0,8325,,"11,888",,,"11,888",0,11888,,,Tuolumne Utilities District,Tuolumne,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
RICHGROVE WWTF,06005118001,"1,500",,,,"1,500",0,1500,"2,901",,,,"2,901",0,2901,,,Richgrove Community Services District,Tulare,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Santa Nella WWTF,06005119001,405,,7,,405,0,405,493,,7,,493,0,493,,,SANTA NELLA C W D,Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
SUTTER CREEK WWTF,06005121001,"3,750",269,"1,324",,"4,019",0,4019,"6,500",481,"1,324",,"6,981",0,6981,,,"SUTTER CREEK, CITY OF",Amador,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
KETTLEMAN CITY STP,06005123001,"1,528",,80,,"1,528",0,1528,"1,956",,80,,"1,956",0,1956,,,KETTLEMAN CITY CSA 1,Kings,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
WESTWOOD WWTF,06005124001,"2,000",,179,,"2,000",0,2000,"2,500",,179,,"2,500",0,2500,,,WESTWOOD COM SERV DIST,Lassen,North Fork Feather,18020121,10th Congressional District,CA,9,MAP
Marysville WWTF,06005125001,"13,627",,,,"13,627",0,13627,"16,000",,,,"16,000",0,16000,,,"MARYSVILLE, CITYOF",Yuba,Upper Yuba,18020125,3rd Congressional District,CA,9,MAP
PATTERSON WWTF,06005126001,"11,606",,,,"11,606",0,11606,"15,000",,,,"15,000",0,15000,,,"PATTERSON, CITY OF",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Geyla Mannor Wastewater Plant,06005128002,225,,,,225,0,225,230,,,,230,0,230,,,AMADOR WATER AGENCY,Amador,Upper Mokelumne,18040012,4th Congressional District,CA,9,MAP
ARVIN WWTF,06005142001,"9,200",,85,,"9,200",0,9200,"12,396",,85,,"12,396",0,12396,,,ARVIN CSD,Kern,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
LAKEPORT SOUTH WWTF,06005145001,"6,300",,263,,"6,300",0,6300,"15,196",,263,,"15,196",0,15196,,,"LAKEPORT, CITY OF",Lake,Upper Cache,18020116,5th Congressional District,CA,9,MAP
Manteca WQCF,06005146001,"69,815","1,086",,,"70,901",0,70901,"95,088","1,100",,,"96,188",0,96188,CA0081558,Individual Permit,"Manteca, City of",San Joaquin,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Mt. Shasta WWTF,06005157001,"3,403",,858,,"3,403",0,3403,"4,581",,858,,"4,581",0,4581,CA0078051,Individual Permit,"MT. SHASTA, CITY OF",Siskiyou,Sacramento Headwaters,18020005,1st Congressional District,CA,9,MAP
ESCALON WWTF,06005158001,"4,437",,"4,005",,"4,437",0,4437,"7,650",,"4,005",,"7,650",0,7650,,,"ESCALON, CITY OF",San Joaquin,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,9th Congressional District,CA,9,MAP
GROVELAND WWTF,06005159001,"3,250",,109,,"3,250",0,3250,"4,256",,109,,"4,256",0,4256,,,GROVELAND CSD,Tuolumne,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,4th Congressional District,CA,9,MAP
MARIPOSA WWTF,06005161001,"2,246",,"1,356",,"2,246",0,2246,"6,178",,"1,356",,"6,178",0,6178,CA0079430,Individual Permit,MARIPOSA P.U.D.,Mariposa,Upper Chowchilla-Upper Fresno,18040007,4th Congressional District,CA,9,MAP
San Andreas Sanitary District WWTP,06005162001,"2,449",,,,"2,449",0,2449,"2,800",,,,"2,800",0,2800,CA0079464,Individual Permit,San Andreas Sanitary District,Calaveras,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
WOODBRIDGE WWTF,06005164001,"3,750",,,,"3,750",0,3750,"4,750",,,,"4,750",0,4750,,,WOODBRIDGE SANITARY DISTRICT,San Joaquin,Upper Mokelumne,18040012,9th Congressional District,CA,9,MAP
KNIGHTS LANDING WWTF,06005169001,663,,,,663,0,663,731,,,,731,0,731,,,KNIGHTS LAND COMM SVC DI,Yolo,Cache Slough-Sacramento River,18020163,3rd Congressional District,CA,9,MAP
DAVIS CAMPUS WWTF,06005176001,"6,500",,225,,"6,500",0,6500,"6,725",,225,,"6,725",0,6725,CA0077895,Individual Permit,U.C. Davis,Yolo,Putah Creek,18020162,3rd Congressional District,CA,9,MAP
DINUBA WWTF,06005177001,"21,087",,"3,104",,"21,087",0,21087,"24,547",,"2,791",,"24,547",0,24547,,,"DINUBA, CITY OF",Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
Exeter WWTF,06005178001,"10,422",339,,,"10,761",0,10761,"11,244",426,,,"11,670",0,11670,,,"EXETER, CITY OF",Tulare,Upper Kaweah,18030007,22nd Congressional District,CA,9,MAP
NEWMAN WWTF,06005179001,"10,567",,,,"10,567",0,10567,"13,698",,,,"13,698",0,13698,,,"NEWMAN, CITYOF",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Deuel Vocational Institution WWTF,06005183001,"2,582",,,,"2,582",0,2582,"2,609",,,,"2,609",0,2609,CA0078093,Individual Permit,"CA Dept. of Correct., Deuel Vocational Institution",San Joaquin,San Joaquin Delta,18040003,10th Congressional District,CA,9,MAP
Easterly WWTP,06005184001,"95,483",,,,"95,483",0,95483,"121,500",,,,"121,500",0,121500,CA0077691,Individual Permit,"VACAVILLE, CITY OF",Solano,San Joaquin Delta,18040003,3rd Congressional District,CA,9,MAP
SALIDA TRTMNT PLANT,06005186001,"3,257",,,,"3,257",0,3257,"3,717",,,,"3,717",0,3717,,,SALIDA SAN. DIST.,Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
ANGELS CAMP WWTF,06005187001,"3,835","1,195",,,"5,030",0,5030,"4,025","2,296",,,"6,321",0,6321,,,"ANGELS, CITY OF",Calaveras,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
MOCCASIN WWTF,06005188001,262,,,,262,0,262,251,,,,251,0,251,,,HETCH HETCHY WATER & POWE,Tuolumne,Upper Stanislaus,18040010,4th Congressional District,CA,9,MAP
MADERA STP,06005197001,"61,416","2,147",,,"63,563",0,63563,"82,000","3,606",,,"85,606",0,85606,,,"MADERA, CITY OF",Madera,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
Grass Valley WWTF,06005198001,"19,000",,,,"19,000",0,19000,"23,395",,,,"23,395",0,23395,CA0079898,Individual Permit,City of Grass Valley,Nevada,Upper Bear,18020126,1st Congressional District,CA,9,MAP
NEVADA CITY WWTF,06005200001,"3,064",,"1,151",,"3,064",0,3064,"4,200",,"1,151",,"4,200",0,4200,CA0079901,Individual Permit,"NEVADA CITY     ,CITYOF",Nevada,Upper Yuba,18020125,1st Congressional District,CA,9,MAP
DUNSMUIR WWTF,06005204001,"3,276",,449,,"3,276",0,3276,"3,680",,449,,"3,680",0,3680,CA0078441,Individual Permit,"DUNSMUIR, CITY OF",Siskiyou,Sacramento Headwaters,18020005,2nd Congressional District,CA,9,MAP
Davis WPCP,06005205001,"65,890",,,,"65,890",0,65890,"79,692",,,,"79,692",0,79692,CA0079049,Individual Permit,"DAVIS, CITY OF",Yolo,Sacramento Headwaters,18020005,3rd Congressional District,CA,9,MAP
Placer County WWTF #1,06005215001,"18,000",,,,"18,000",0,18000,"20,000",,,,"20,000",0,20000,CA0079316,Individual Permit,PLACER COUNTY DEPARTMENT OF FACILITY SERVICES,Placer,North Fork American,18020128,1st Congressional District,CA,9,MAP
Placer County WWTF #3,06005217001,"1,000",,,,"1,000",0,1000,"2,000",,,,"2,000",0,2000,CA0079367,Individual Permit,Placer Co. Department of Facility Services,Placer,Lower American,18020111,4th Congressional District,CA,9,MAP
Sheridan WWTF,06005218001,600,,,,600,0,600,650,,,,650,0,650,,,Placer County Special Districts,Placer,Upper Bear,18020126,4th Congressional District,CA,9,MAP
APPLEGATE WWTF,06005221001,85,,,,85,0,85,85,,,,85,0,85,,,Placer Co. Department of Facility Services,Placer,North Fork American,18020128,1st Congressional District,CA,9,MAP
Cutler-Orosi WWTF,06005226001,"13,190",,20,,"13,190",0,13190,"19,870",,20,,"19,870",0,19870,CA0081485,Individual Permit,Cutler-Orosi Joint Powers Wastewater Authority,Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
Dry Creek WWTP,06005227001,"45,775","53,190","4,111",,"98,965",0,98965,"66,775","64,501","4,111",,"131,276",0,131276,CA0079502,Individual Permit,"ROSEVILLE, CITY OF",Placer,Lower American,18020111,4th Congressional District,CA,9,MAP
Pleasant Grove WWTP,06005227002,"120,000",,,,"120,000",0,120000,"165,000",,,,"165,000",0,165000,CA0084573,Individual Permit,City of Roseville,Placer,Sacramento Headwaters,18020005,4th Congressional District,CA,9,MAP
SHASTA LAKE WWTF,06005232001,"9,008",,,,"9,008",0,9008,"10,500",,,,"10,500",0,10500,CA0079511,Individual Permit,"SHASTA LAKE, CITY OF",Shasta,Cow Creek,18020152,1st Congressional District,CA,9,MAP
Colfax WWTF,06005233001,"1,644",,,,"1,644",0,1644,"2,916",,,,"2,916",0,2916,CA0079529,Individual Permit,"COLFAX, CITY OF",Placer,North Fork American,18020128,1st Congressional District,CA,9,MAP
LINCOLN WWTF,06005234001,"14,000",,,,"14,000",0,14000,"30,000","14,000",,,"44,000",0,44000,CA0084476,Individual Permit,"LINCOLN, CITY OF",Placer,Sacramento Headwaters,18020005,4th Congressional District,CA,9,MAP
DIXON WWTF,06005235001,"18,536",,,,"18,536",0,18536,"21,652",,,,"21,652",0,21652,,,"DIXON, CITY OF",Solano,Cache Slough-Sacramento River,18020163,3rd Congressional District,CA,9,MAP
WINTERS WWTF,06005236001,"7,300",,686,,"7,300",0,7300,"9,300",,"1,859",,"9,300",0,9300,,,"WINTERS, CITY OF",Yolo,Battle Creek-Sacramento River,18020154,3rd Congressional District,CA,9,MAP
MOKELUMNE HILL WWTF,06005238001,"1,010",,334,,"1,010",0,1010,"2,410",,334,,"2,410",0,2410,,,MOKELUMNE HILL SD,Calaveras,Upper Calaveras,18040011,4th Congressional District,CA,9,MAP
Alturas WWTP,06005240001,"2,978","2,774",,,"5,752",0,5752,"3,150","2,900",,,"6,050",0,6050,CA0078921,Individual Permit,"Alturas, City of",Modoc,Upper Pit,18020002,1st Congressional District,CA,9,MAP
ARBUCKLE WWTF,06005241001,"2,100",,,,"2,100",0,2100,"2,200",,,,"2,200",0,2200,,,ARBUCKLE PUBLIC UTILITY DISTRICT,Colusa,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
QUINCY TREATMENT PLANT,06005243001,"3,020",,"1,999",,"3,020",0,3020,"5,200",,"1,999",,"5,200",0,5200,CA0078981,Individual Permit,QUINCY COMMUNITY SERVICES DISTRICT,Plumas,East Branch North Fork Feather,18020122,1st Congressional District,CA,9,MAP
REEDLEY WWTP,06005244001,"20,756",,,,"20,756",0,20756,"24,000",,,,"24,000",0,24000,,,"REEDLEY, CITY OF",Fresno,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
Corning WWTP,06005245002,"6,825",,,,"6,825",0,6825,"11,500",,,,"11,500",0,11500,CA0004995,Individual Permit,"CORNING, CITY OF",Tehama,Shasta,18010207,1st Congressional District,CA,9,MAP
Corcoran WWTF,06005246001,"12,721",,,,"12,721",0,12721,"19,296",,,,"19,296",0,19296,,,"CORCORAN, CITY OF",Kings,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Deer Creek WWTP,06005249001,"25,870",,,,"25,870",0,25870,"39,200",,,,"39,200",0,39200,CA0078662,Individual Permit,EL DORADO IRRIGATION DISTRICT,El Dorado,Upper Cosumnes,18040013,4th Congressional District,CA,9,MAP
El Dorado Hills WWTP,06005249003,"22,885",,,,"22,885",0,22885,"44,750",,,,"44,750",0,44750,CA0078671,Individual Permit,EL DORADO IRRIGATION DISTRICT,El Dorado,Upper Cosumnes,18040013,4th Congressional District,CA,9,MAP
KIRKWOOD MEADOWS WWTF,06005249005,958,,108,,958,0,958,690,,108,,690,0,690,,,EL DORADO IRRIGATION DIST,El Dorado,Upper Cosumnes,18040013,4th Congressional District,CA,9,MAP
RIO VISTA WWTF,06005253001,"3,992",,,,"3,992",0,3992,"3,992",,,,"3,992",0,3992,CA0079588,Individual Permit,"RIO VISTA, CITY OF",Solano,Suisun Bay,18050001,3rd Congressional District,CA,9,MAP
LAKE CO SE REG WWTF,06005256001,"9,985","8,624","2,158",,"18,609",0,18609,"18,540","20,271","2,158",,"38,811",0,38811,,,"LAKE CSD, ID #1",Lake,Upper Cache,18020116,5th Congressional District,CA,9,MAP
LINDA WWTF,06005257001,"11,000",,,,"11,000",0,11000,"13,000",,,,"13,000",0,13000,CA0079651,Individual Permit,LINDA COUNTY WATER DIST,Yuba,Honcut Creek-Lower Feather River,18020159,3rd Congressional District,CA,9,MAP
ADIN WWTF,06005258001,300,,45,,300,0,300,719,,45,,719,0,719,,,ADIN COMM SERV DIST,Modoc,Upper Pit,18020002,1st Congressional District,CA,9,MAP
AVENAL WWTF,06005261001,"5,360",,,,"5,360",0,5360,"6,294",,,,"6,294",0,6294,,,AVENAL COMM SERV DIST,Kings,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
BECKWOURTH WWTF,06005262001,228,,2,,228,0,228,279,,2,,279,0,279,,,BECKWOURTH CSA,Plumas,East Branch North Fork Feather,18020122,1st Congressional District,CA,9,MAP
BIGGS WWTF,06005265001,"1,793",,,,"1,793",0,1793,"2,400",,,,"2,400",0,2400,CA0078930,Individual Permit,"BIGGS, CITY OF",Butte,Butte,18010205,1st Congressional District,CA,9,MAP
BIOLA WWTP,06005266001,964,,49,,964,0,964,"1,231",,62,,"1,231",0,1231,,,BIOLA COMM SERV DIST,Fresno,Upper Chowchilla-Upper Fresno,18040007,16th Congressional District,CA,9,MAP
BYRON SAN DIS WWTF,06005271001,900,,393,,900,0,900,922,,400,,922,0,922,,,BYRON SANITARY DISTRICT,Contra Costa,San Joaquin Delta,18040003,9th Congressional District,CA,9,MAP
BUTTONWILLOW WWTF,06005272001,"1,660",,130,,"1,660",0,1660,"2,502",,130,,"2,502",0,2502,,,BUTTONWILLOW CWD,Kern,San Joaquin Delta,18040003,21st Congressional District,CA,9,MAP
CHESTER WWTF,06005279001,"2,002",,46,,"2,002",0,2002,"2,491",,46,,"2,491",0,2491,CA0077747,Individual Permit,CHESTER CSA,Plumas,North Fork Feather,18020121,1st Congressional District,CA,9,MAP
CLEARLAKE OAKS WWTF,06005282001,"1,607",,681,,"1,607",0,1607,"5,361",,681,,"5,361",0,5361,,,CLEARLAKE OAKS CWD,Lake,Upper Cache,18020116,3rd Congressional District,CA,9,MAP
HIDDEN VALLEY LAKE WWTF,06005283001,"3,660",,"1,914",,"3,660",0,3660,"5,009",,"1,000",,"5,009",0,5009,,,HIDDEN VALLEY LAKE CSD,Lake,Putah Creek,18020162,5th Congressional District,CA,9,MAP
COALINGA WWTF,06005284001,"11,668",,,,"11,668",0,11668,"13,500",,,,"13,500",0,13500,,,"COALINGA, CITY OF",Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Cottonwood WWTP,06005285001,"2,960",,,,"2,960",0,2960,"2,960",,,,"2,960",0,2960,CA0081507,Individual Permit,Shasta County Department of Public Works,Shasta,Shasta,18010207,1st Congressional District,CA,9,MAP
Delleker WWTF,06005294001,425,,,,425,0,425,700,,,,700,0,700,CA0081744,Individual Permit,Grizzly Lake Resort Improvement District,Plumas,Middle Fork Feather,18020123,1st Congressional District,CA,9,MAP
Plumas Eureka WWTP,06005296001,750,,576,,750,0,750,750,,576,,750,0,750,,,PLUMAS EUREKA CSD,Plumas,Middle Fork Feather,18020123,1st Congressional District,CA,9,MAP
Gustine WWTF,06005297001,"5,548",,,,"5,548",0,5548,"7,548",,,,"7,548",0,7548,,,"GUSTINE, CITY OF",Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
HAMILTON CITY WWTF,06005299001,"1,824",,51,,"1,824",0,1824,"2,311",,51,,"2,311",0,2311,,,HAMILTON CITY COMM SERV D,Glenn,Middle San Joaquin-Lower Chowchilal,18040001,3rd Congressional District,CA,9,MAP
HILMAR W.T.P.,06005300001,"5,000",,,,"5,000",0,5000,"6,500",,,,"6,500",0,6500,,,HILMAR C.W.D.,Merced,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,16th Congressional District,CA,9,MAP
Lamont WWTF,06005306001,"18,000",,"1,500",,"18,000",0,18000,"28,577",,"2,406",,"28,577",0,28577,,,Lamont Public Utility District,Kern,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
LATON WWTP,06005308001,"1,477",,59,,"1,477",0,1477,"1,869",,59,,"1,869",0,1869,,,Laton Community Services District,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
LEMOORE STP,06005310001,"24,000",,875,,"24,000",0,24000,"25,850",,875,,"25,850",0,25850,,,"LEMOORE, CITY OF",Kings,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
LEMON COVE WWTF,06005311001,308,,39,,308,0,308,384,,39,,384,0,384,,,LEMON COVE SAN DIST,Tulare,Upper Kaweah,18030007,23rd Congressional District,CA,9,MAP
Linden WWTF,06005313001,"1,339",,,,"1,339",0,1339,"1,650",,,,"1,650",0,1650,,,LINDEN COUNTY WATER DIST,San Joaquin,Upper Calaveras,18040011,9th Congressional District,CA,9,MAP
LIVINGSTON DOMESTIC STP,06005315002,"13,824",,100,,"13,824",0,13824,"17,238",,50,,"17,238",0,17238,,,"LIVINGSTON, CITY OF",Merced,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,16th Congressional District,CA,9,MAP
LONDON WWTF,06005316001,"2,041",,,,"2,041",0,2041,"2,145",,,,"2,145",0,2145,,,LONDON COMM SERV DIST,Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
McCloud WWTF,06005319001,"1,700",,,,"1,700",0,1700,"2,025",,,,"2,025",0,2025,,,McCloud Community Services District,Siskiyou,McCloud,18020004,1st Congressional District,CA,9,MAP
