CWNS Number,Facility/Project Name,Discharge Method,Present Discharge,Present Flow %,Present Discharge To Facility,Present Discharge To Facility Name,Present Effluent Treatment Level,Present Disinfection,Present BOD Removal,Present Nitrogen Removal,Present Phosphorous Removal,Present Ammonia Removal,Projected Discharge,Projected Flow %,Projected Discharge To Facility,Projected Discharge To Facility Name,Projected Effluent Treatment Level,Projected Disinfection,Projected BOD Removal,Projected Nitrogen Removal,Projected Phosphorous Removal,Projected Ammonia Removal,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
30000041001,VIRGINIA CITY WWTP,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"VIRGINIA CITY, TOWN OF",Madison,Ruby,10020003,0th Congressional District,MT,8,MAP
30000044001,"DODSON, TOWN OF - WWTP",Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"DODSON, TOWN OF",Phillips,Middle Milk,10050004,0th Congressional District,MT,8,MAP
30000045001,BEARCREEK,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"BEARCREEK      ,TOWNOF",Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
30000046001,LIVINGSTON WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020435,Individual Permit,"LIVINGSTON      ,CITYOF",Park,Upper Yellowstone,10070002,0th Congressional District,MT,8,MAP
30000047001,MISSOULA WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022594,Individual Permit,CITY OF MISSOULA,Missoula,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
30000048001,BOZEMAN WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,Y,Y,,Y,,,,Advanced Treatment,N,Y,Y,Y,,MT0022608,Individual Permit,"BOZEMAN, CITY OF",Gallatin,Gallatin,10020008,0th Congressional District,MT,8,MAP
30000049001,BUTTE-SILVER BOW  CITY-COUNTY,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,Y,Y,Y,MT0022012,Individual Permit,BUTTE-SILVER BOW WWTP,Silver Bow,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000049001,BUTTE-SILVER BOW  CITY-COUNTY,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,Y,Y,Y,MT0022012,Individual Permit,BUTTE-SILVER BOW WWTP,Silver Bow,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000050001,HELENA WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,Y,Y,,,,Advanced Treatment,N,Y,,,Y,MT0022641,Individual Permit,"HELENA, CITY OF",Lewis and Clark,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
30000051001,KALISPELL WWT FACILITY,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,Y,,Y,,,,Advanced Treatment,N,Y,,Y,,MT0021938,Individual Permit,CITY OF KALISPELL,Flathead,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
30000053001,GREAT FALLS WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,Y,Y,Y,MT0021920,Individual Permit,"GREAT FALLS, CITY OF",Cascade,Upper Missouri-Dearborn,10030102,0th Congressional District,MT,8,MAP
30000054001,CASCADE WWTF,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"CASCADE, TOWN OF",Cascade,Upper Missouri-Dearborn,10030102,0th Congressional District,MT,8,MAP
30000055001,SIDNEY WWTF,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"SIDNEY, CITYOF",Richland,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
30000055001,SIDNEY WWTF,Discharge To Groundwater,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"SIDNEY, CITYOF",Richland,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
30000056001,BELT WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0021571,Individual Permit,"BELT, TOWN OF",Cascade,Belt,10030105,0th Congressional District,MT,8,MAP
30000056001,BELT WWTP,Spray Irrigation,N,,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0021571,Individual Permit,"BELT, TOWN OF",Cascade,Belt,10030105,0th Congressional District,MT,8,MAP
30000060001,BILLINGS WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022586,Individual Permit,"BILLINGS, CITY OF",Yellowstone,Upper Yellowstone-Lake Basin,10070004,0th Congressional District,MT,8,MAP
30000062001,LAUREL WWTP,Outfall To Surface Waters,Y,,,,Secondary,Y,,,,,Y,,,,Advanced Treatment,Y,,Y,Y,Y,MT0020311,Individual Permit,CITY OF LAUREL,Yellowstone,Upper Yellowstone-Lake Basin,10070004,0th Congressional District,MT,8,MAP
30000063001,HAVRE WWTF,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,,,Y,MT0022535,Individual Permit,"HAVRE, CITY OF",Hill,Middle Milk,10050004,0th Congressional District,MT,8,MAP
30000067001,CROW AGENCY WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG589007,General Permit Covered Facility,CROW TRIBE EXECUTIVE BRANCH,Big Horn,Little Bighorn,10080016,0th Congressional District,MT,8,MAP
30000068001,BRIDGER LAGOONS,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020303,Individual Permit,BRIDGER TOWN OF,Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
30000069001,JOLIET WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020249,Individual Permit,"JOLIET, TOWN OF",Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
30000070001,"RED LODGE, CITY OF - STP",Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020478,Individual Permit,CITY OF RED LODGE,Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
30000071001,BELFRY LAGOON,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,BELFRY TOWN OF,Carbon,Clarks Fork Yellowstone,10070006,0th Congressional District,MT,8,MAP
30000073001,ABSAROKEE SEWER DIST RSID 5&7 WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0021750,Individual Permit,ABSAROKEE Sewer District RSID 5 & 7,Stillwater,Stillwater,10070005,0th Congressional District,MT,8,MAP
30000076001,CUSTER - YELLOWSTONE COUNTY Sewer District,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,CUSTER Water and Sewer District,Yellowstone,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
30000079001,EKALAKA WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020371,Individual Permit,"EKALAKA,  TOWN OF",Carter,Upper Little Missouri,10110201,0th Congressional District,MT,8,MAP
30000080001,MILES CITY WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020001,Individual Permit,"MILES CITY, CITY OF",Custer,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
30000081001,"BAKER, CITY OF - WWTP",Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG580029,General Permit Covered Facility,"BAKER, CITY OF",Fallon,O'Fallon,10100005,0th Congressional District,MT,8,MAP
30000081001,"BAKER, CITY OF - WWTP",Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG580029,General Permit Covered Facility,"BAKER, CITY OF",Fallon,O'Fallon,10100005,0th Congressional District,MT,8,MAP
30000085001,LAME DEER WWTF - LAGOON,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0029360,Individual Permit,NORTHERN CHEYENNE UTILITY COMMISSION,Rosebud,Rosebud,10100003,0th Congressional District,MT,8,MAP
30000086001,HYSHAM WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0021709,Individual Permit,"HYSHAM, TOWN OF",Treasure,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
30000087001,BELGRADE LAGOONS,Discharge To Groundwater,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"BELGRADE, TOWN OF",Gallatin,Gallatin,10020008,0th Congressional District,MT,8,MAP
30000087001,BELGRADE LAGOONS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"BELGRADE, TOWN OF",Gallatin,Gallatin,10020008,0th Congressional District,MT,8,MAP
30000088001,THREE FORKS STP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020401,Individual Permit,"THREE FORKS, TOWN OF",Gallatin,Jefferson,10020005,0th Congressional District,MT,8,MAP
30000090001,ST. IGNATIUS WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG589019,General Permit Covered Facility,"ST. IGNATIUS, TOWN OF",Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000091001,CHARLO - LAKE COUNTY SEWER DIST.,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022551,Individual Permit,LAKE COUNTY CHARLO SEWER DIST.,Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000092001,POLSON WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020559,Individual Permit,"POLSON, CITY OF",Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000093001,DILLON WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,Y,Y,Y,MT0021458,Individual Permit,CITY OF DILLON,Beaverhead,Beaverhead,10020002,0th Congressional District,MT,8,MAP
30000094001,WISDOM WWTP,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,WISDOM TOWN OF,Beaverhead,Big Hole,10020004,0th Congressional District,MT,8,MAP
30000095001,CHINOOK WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020125,Individual Permit,"CHINOOK, CITY OF",Blaine,Middle Milk,10050004,0th Congressional District,MT,8,MAP
30000096001,HARLEM WWTP,Spray Irrigation,N,,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0021270,Individual Permit,HARLEM TOWN OF,Blaine,Middle Milk,10050004,0th Congressional District,MT,8,MAP
30000096001,HARLEM WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0021270,Individual Permit,HARLEM TOWN OF,Blaine,Middle Milk,10050004,0th Congressional District,MT,8,MAP
30000097001,HAYS WWTF,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,HAYS TOWN OF,Blaine,Peoples,10050009,0th Congressional District,MT,8,MAP
30000100001,VAUGHN COUNTY W&S DISTRICT,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,60,,,Secondary,N,,,,,MT0021440,Individual Permit,VAUGHN TOWN OF,Cascade,Sun,10030104,0th Congressional District,MT,8,MAP
30000100001,VAUGHN COUNTY W&S DISTRICT,Spray Irrigation,N,,,,Secondary,N,,,,,Y,40,,,Secondary,N,,,,,MT0021440,Individual Permit,VAUGHN TOWN OF,Cascade,Sun,10030104,0th Congressional District,MT,8,MAP
30000101001,SCOBEY WWTP,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"SCOBEY, CITY OF",Daniels,Poplar,10060003,0th Congressional District,MT,8,MAP
30000102001,RICHEY WWTP,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"RICHEY, TOWN OF",Dawson,Redwater,10060002,0th Congressional District,MT,8,MAP
30000102001,RICHEY WWTP,Reuse: Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"RICHEY, TOWN OF",Dawson,Redwater,10060002,0th Congressional District,MT,8,MAP
30000103001,ANACONDA Deer Lodge County,Discharge To Groundwater,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,ANACONDA-DEER LODGE,Deer Lodge,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000103001,ANACONDA Deer Lodge County,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,ANACONDA-DEER LODGE,Deer Lodge,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000106001,GRASS RANGE WWTF,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0021920,Individual Permit,"GRASS RANGE, TOWN OF",Fergus,Box Elder,10040204,0th Congressional District,MT,8,MAP
30000108001,JORDAN WWTP,Reuse: Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"JORDAN, TOWN OF",Garfield,Big Dry,10040105,0th Congressional District,MT,8,MAP
30000109001,CUT BANK LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0020141,Individual Permit,"CUT BANK, CITY OF",Glacier,Cut Bank,10030202,0th Congressional District,MT,8,MAP
30000109001,CUT BANK LAGOON,Spray Irrigation,N,,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0020141,Individual Permit,"CUT BANK, CITY OF",Glacier,Cut Bank,10030202,0th Congressional District,MT,8,MAP
30000111001,RYEGATE WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020451,Individual Permit,TOWN OF RYEGATE,Golden Valley,Upper Musselshell,10040201,0th Congressional District,MT,8,MAP
30000111001,RYEGATE WWTP,Discharge To Groundwater,Y,,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0020451,Individual Permit,TOWN OF RYEGATE,Golden Valley,Upper Musselshell,10040201,0th Congressional District,MT,8,MAP
30000112001,DRUMMOND WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG580002,General Permit Covered Facility,"DRUMMOND, TOWN OF",Granite,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000113001,PHILIPSBURG WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,Y,Y,Y,MT0031500,Individual Permit,TOWN OF PHILIPSBURG,Granite,Flint-Rock,17010202,0th Congressional District,MT,8,MAP
30000115001,BOX ELDER LAGOONS,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,BOX ELDER S.D.,Hill,Middle Milk,10050004,0th Congressional District,MT,8,MAP
30000117001,ROCKY BOY LAGOON,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,ROCKY BOY AGENCY,Hill,Big Sandy,10050005,0th Congressional District,MT,8,MAP
30000118001,RUDYARD WWTP,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,RUDYARD SD,Hill,Sage,10050006,0th Congressional District,MT,8,MAP
30000119001,WHITEHALL WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020133,Individual Permit,"WHITEHALL, TOWN OF",Jefferson,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
30000120001,EAST HELENA WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,MT0022560,Individual Permit,CITY OF EAST HELENA,Lewis and Clark,Upper Missouri,10030101,0th Congressional District,MT,8,MAP
30000122001,AUGUSTA W & S District,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,AUGUSTA W & S District,Lewis and Clark,Sun,10030104,0th Congressional District,MT,8,MAP
30000124001,EUREKA LAGOONS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"EUREKA, TOWN OF",Lincoln,Upper Kootenai,17010101,0th Congressional District,MT,8,MAP
30000125001,LIBBY WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020494,Individual Permit,"LIBBY, CITY OF",Lincoln,Upper Kootenai,17010101,0th Congressional District,MT,8,MAP
30000126001,WHITE SULPHUR SPRINGS STP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0020699,Individual Permit,WHITE SULPHUR SPRINGS,Meagher,Smith,10030103,0th Congressional District,MT,8,MAP
30000127001,ALBERTON LAGOONS,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0021555,Individual Permit,ALBERTON TOWN OF,Mineral,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
30000128001,SUPERIOR WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020664,Individual Permit,"SUPERIOR, TOWN OF",Mineral,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
30000130001,GARDINER WWTF,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,Y,,,,,MT0022705,Individual Permit,Gardiner Park County Water and Sewer District,Park,Yellowstone Headwaters,10070001,0th Congressional District,MT,8,MAP
30000132001,SACO WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG580012,General Permit Covered Facility,"SACO, TOWN OF",Phillips,Beaver,10050014,0th Congressional District,MT,8,MAP
30000133001,BRADY WUA - WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG580022,General Permit Covered Facility,"BRADY, TOWN OF",Pondera,Marias,10030203,0th Congressional District,MT,8,MAP
30000134001,DEER LODGE WWTP,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022616,Individual Permit,"DEER LODGE, CITY OF",Powell,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000134001,DEER LODGE WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0022616,Individual Permit,"DEER LODGE, CITY OF",Powell,Upper Clark Fork,17010201,0th Congressional District,MT,8,MAP
30000137001,HAMILTON WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,MT0020028,Individual Permit,"HAMILTON, CITY OF",Ravalli,Bitterroot,17010205,0th Congressional District,MT,8,MAP
30000139001,BAINVILLE LAGOONS,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,BAINVILLE TOWN OF,Roosevelt,Charlie-Little Muddy,10060005,0th Congressional District,MT,8,MAP
30000140001,FROID LAGOON,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,FROID TOWN OF,Roosevelt,Big Muddy,10060006,0th Congressional District,MT,8,MAP
30000141001,CULBERTSON WWTP,Discharge To Groundwater,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"CULBERTSON, TOWN OF",Roosevelt,Charlie-Little Muddy,10060005,0th Congressional District,MT,8,MAP
30000142001,BROCKTON LAGOON,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0030589,Individual Permit,"BROCKTON, TOWN OF",Roosevelt,Charlie-Little Muddy,10060005,0th Congressional District,MT,8,MAP
30000143001,POPLAR WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0030597,Individual Permit,"POPLAR, CITY OF",Roosevelt,Poplar,10060003,0th Congressional District,MT,8,MAP
30000144001,WOLF POINT WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0030571,Individual Permit,"WOLF POINT, CITY OF",Roosevelt,Prarie Elk-Wolf,10060001,0th Congressional District,MT,8,MAP
30000146001,PLAINS WWTP,Discharge To Groundwater,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0030465,Individual Permit,"PLAINS, TOWN OF",Sanders,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000147001,THOMPSON FALLS - TOWN OF - WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG580035,General Permit Covered Facility,"THOMPSON FALLS, TOWN OF",Sanders,Lower Clark Fork,17010213,0th Congressional District,MT,8,MAP
30000152001,CHOTEAU LAGOONS,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Advanced Treatment,N,,Y,Y,Y,MT0020052,Individual Permit,City of Choteau,Teton,Teton,10030205,0th Congressional District,MT,8,MAP
30000153001,DUTTON LAGOON,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"DUTTON,  TOWN OF",Teton,Teton,10030205,0th Congressional District,MT,8,MAP
30000154001,SHELBY WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0031488,Individual Permit,CITY OF SHELBY,Toole,Marias,10030203,0th Congressional District,MT,8,MAP
30000157001,HARLOWTON LAGOON,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020354,Individual Permit,HARLOWTON TOWN OF,Wheatland,Upper Musselshell,10040201,0th Congressional District,MT,8,MAP
30000158001,WIBAUX WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020516,Individual Permit,TOWN OF WIBAUX,Wibaux,Beaver,10110204,0th Congressional District,MT,8,MAP
30000160001,BIG SANDY WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022454,Individual Permit,"BIG SANDY, TOWN OF",Chouteau,Big Sandy,10050005,0th Congressional District,MT,8,MAP
30000161001,SHERIDAN WWTP,Spray Irrigation,N,,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0022098,Individual Permit,"SHERIDAN, TOWN OF",Madison,Ruby,10020003,0th Congressional District,MT,8,MAP
30000161001,SHERIDAN WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0022098,Individual Permit,"SHERIDAN, TOWN OF",Madison,Ruby,10020003,0th Congressional District,MT,8,MAP
30000163001,MOORE WWTP,Spray Irrigation,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,,,"MOORE, TOWN OF",Fergus,Judith,10040103,0th Congressional District,MT,8,MAP
30000166001,PABLO WWTP,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"PABLO, TOWN OF",Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000166001,PABLO WWTP,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"PABLO, TOWN OF",Lake,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000167001,LAMBERT WWTP,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,LAMBERT S.D.,Richland,Big Muddy,10060006,0th Congressional District,MT,8,MAP
30000168001,LOLO Water & Sewer District,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020168,Individual Permit,LOLO Water & Sewer District,Missoula,Bitterroot,17010205,0th Congressional District,MT,8,MAP
30000170001,SAVAGE WWTP,Spray Irrigation,N,,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0024783,Individual Permit,RICHLAND CO./SAVAGE,Richland,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
30000170001,SAVAGE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,MT0024783,Individual Permit,RICHLAND CO./SAVAGE,Richland,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
30000174001,W. GLENDIVE STP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,MT0021733,Individual Permit,"W. GLENDIVE, TOWN OF",Dawson,Lower Yellowstone,10100004,0th Congressional District,MT,8,MAP
30000178001,FRAZER LAGOON,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,FRAZER TOWN OF,Valley,Prarie Elk-Wolf,10060001,0th Congressional District,MT,8,MAP
30000180001,BIGFORK COUNTY WATER & SEWER DIS.,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,,,Y,,Y,,,,Advanced Treatment,N,,,Y,,MT0020397,Individual Permit,BIGFORK W&S DIST,Flathead,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
30000181001,GILDFORD LAGOON,Evaporation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,GILDFORD TOWN OF,Hill,Sage,10050006,0th Congressional District,MT,8,MAP
30000182001,BROWNING WWTF,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MTG589006,General Permit Covered Facility,"BROWNING, TOWN OF",Glacier,Cut Bank,10030202,0th Congressional District,MT,8,MAP
30000192001,COLSTRIP WWTP,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022373,Individual Permit,CITY OF COLSTRIP,Rosebud,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
30000192001,COLSTRIP WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0022373,Individual Permit,CITY OF COLSTRIP,Rosebud,Lower Yellowstone-Sunday,10100001,0th Congressional District,MT,8,MAP
30000193001,HOT SPRINGS WWTF,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020591,Individual Permit,"HOT SPRINGS, TOWN OF",Sanders,Lower Flathead,17010212,0th Congressional District,MT,8,MAP
30000196001,HINSDALE WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0020656,Individual Permit,HINSDALE CNTY WATER AND SEWER,Valley,Lower Milk,10050012,0th Congressional District,MT,8,MAP
30000202001,LAKESIDE STP,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,LAKESIDE SEWER DISTRICT,Flathead,Flathead Lake,17010208,0th Congressional District,MT,8,MAP
30000203001,WILLOW CREEK SEWER DIST.,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,MT0025038,Individual Permit,WILLOW CREEK SEWER DISTRICT,Gallatin,Jefferson,10020005,0th Congressional District,MT,8,MAP
30000209001,SEELEY LAKE SEPTIC,Discharge To Groundwater,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,,,SEELEY LAKE Sewer District,Missoula,Blackfoot,17010203,0th Congressional District,MT,8,MAP
